Chinese term,English term,Synonyms,Chinese synonyms
辛凉解表,Release the exterior with pungent-cool,Remove wind and clear heat,辛凉透表；疏散风热
辛凉清热,Clear heat with pungent-cool,Release the exterior and clear heat,解表清热
疏邪解表,Remove pathogenic factors and release the exterior,Remove pathogenic factors in the exterior,疏邪透表
疏风透疹,Remove wind and promote skin eruption,Release the exterior and promote skin eruption,解表透疹
解表通经,Release the exterior and unblock meridians,,
解表宣肺,Release the exterior and disperse the lung,,
调和营卫,Regulate and harmonize the Ying nutrients and Wei-defence,,
祛🗎解表,Eliminate dampness and release the exterior,,
理气解表,Regulate qi and release the exterior,,
扶正解表,Reinforce healthy qi and release the exterior,,
益气解表,Supplement qi and release the exterior,,补气解表
涌吐法,Emetic methods,,
涌吐痰涎,Induce vomiting to eliminate phlegm and salivation,,
涌吐风痰,Induce vomiting to eliminate wind phlegm,,
涌吐痰食,Induce sweating to eliminate retained phlegm and food,,
涌吐宿食,Induce vomiting to eliminate food retention,,
开关涌吐,Induce vomiting to refresh the mind,,涌吐开关
攻下法,Purgative methods,Interior purgation methods,攻里法
清热攻下,Clear heat and promote bowel movements,Fire-clearing purgation; Purgation with bitter-cold; Drastic purgation,泻火攻下；泻火通腑；泻火通 便；清热通腑；清热通便；苦寒攻下；峻下热结
泻结行滞,Promote bowel movements and circulate qi,Congestion- clearing and qi-circulating purgation,
温下实寒,Warm yang and dissipate cold,,
润燥通便,Moisten dryness and promote bowel movements,Yin-nourishing purgation,润肠通便；增液通下；滋阴通下
益气通下,Benefit qi and promote bowel movements,Supplement qi and promote bowel movements,益气通便
温阳通便,Warm yang and promote bowel movements,Yang-warming purgation,温阳通下
润肠泄热,Moisten the intestine and clear heat,,
软坚润燥,Soften hardness and moisten dryness,,
泻下逐水,Promote bowel movements and expel water,,攻下逐水；
急下存阴,Urgent purgation to preserve yin,,
表里双解法,Methods to release both the exterior and interior,Methods to concurrently release both exterior and interior,
解表攻里,Release the exterior and purge the interior,,发表攻里；发表攻下；解表攻下
解表清里,Release the exterior and clear the interior,,
解表温里,Release the exterior and warm the interior,Induce sweating and warm the interior,发汗温里
和解法,Methods to harmonize and release,,
和解表里,Harmonize and release the exterior and interior,,
调和肝脾,Regulate and harmonize the liver and spleen,Harmonize between the liver and spleen,调理肝脾
疏肝和胃,Soothe the liver and harmonize the stomach,,
调理肠胃,Regulate and harmonize the stomach and intestines,Harmonize between the stomach and intestines,调和肠胃
调理脾胃,Regulate and harmonize the spleen and stomach,Harmonize between the spleen and stomach,调和脾胃
调和气血,Regulate and harmonize qi and blood,Regulate qi and harmonize blood,调理气血；理气和血
调气和营,Regulate qi and harmonize the Ying nutrients,,
平调寒热,Balance and regulate cold and heat,Mediate cold and heat,调和寒热
分消走泄,Induce urination and promote bowel movements,,
分消上下,Induce vomiting and promoting bladder/ bowel movements,,
表里分消,Release the exterior and clear interior excess,,
调理冲任,Regulate the Chong and Ren,Regulate and nourish the Chong and Ren,调摄冲任
清热法,Heat-clearing methods,,
清热泻火,Clear heat and reduce fire,Clear heat with bitter cold,清热降火；苦寒清热
辛寒清热,Clear heat with pungent cold,Clear qi with pungent cold,辛寒清气
清热解毒,Clear heat and remove toxins,Clear heat to detoxify,泄热解毒；泄热败毒；清热败 毒；清火解毒；清泻火毒
清热凉血,Clear heat and cool blood,Clear qi and cool blood,清气凉血
清营凉血,Clear heat in the Ying nutrients and cool blood,,
清宣郁热,Clear and reduce stagnant heat,Clear stagnant fire; Clear and disperse fire; Clear heat and alleviate vexation,清泄郁热；清泄郁火；清宣郁 火；解郁泄热；清热除烦；清心除烦
清泻虚热,Clear and reduce deficiency heat,,清泻虚火
清泄里热,Clear and reduce interior heat,Clear the zang–fu organs,清泄脏腑
清心泻火,Clear and reduce heart fire,Clear the heart and reduce fire,清心泄热
清热泻肺,Clear and reduce lung heat,,
清胃泄热,Clear and reduce stomach heat,Clear the stomach and reduce fire,清胃降火；清胃降热；清胃泄火
清脾泄热,Clear and reduce spleen heat,Clear the spleen and reduce fire,清脾泻火；清泄脾胃伏火
清肝泄火,Clear and reduce liver fire,Clear the liver and reduce fire,清肝泻火；清肝泻热；清肝泄热
清泄胆热,Clear and reduce gallbladder heat,Clear gallbladder fire,清泄胆火
清泻肝胆,Clear heat in the liver and gallbladder,,清泄肝胆
清心泻脾,Clear heat in the heart and spleen,,
清心泻肝,Clear heat in the heart and liver,,
清心泻肺,Clear heat in the heart and lung,,
清心泻肾,Clear heat in the heart and kidney,,
泻肝清肺,Clear heat in the liver and lung,,
泻肝清胃,Clear heat in the liver and stomach,,
清泻肺胃,Clear heat in the lung and stomach,,
清泄膈热,Clear and reduce diaphragm heat,,
清泻肠热,Clear and reduce intestine heat,,
清泄相火,Clear and reduce ministerial fire,,
清热通淋,Clear heat and relieve strangury,Reduce fire and relieve strangury,泻火通淋
清热安胎,Clear heat and quiet the fetus,,
清热生津,Clear heat and generate fluids,Clear heat with sweet-cold,泄热生津；泄热存津；清热存 津；甘凉清热
清热除蒸,Clear heat and relieve bone-steaming sensation,,
理气法,Qi-regulating methods,,
理气行滞,Regulate qi and resolve stagnation,Regulate qi and unblock stagnation,理气导滞
疏肝理气,Soothe the liver and regulate qi,Soothe the liver and relieve depression,疏肝解郁
疏肝利胆,Soothe the liver and promote bile flow,,
宣肺通气,Disperse lung qi,,
行气和胃,Circulate qi and harmonize the stomach,Regulate qi and strengthen the stomach,理气和胃；理气健胃；行气健 胃；行气宽中
理气健脾,Regulate qi and strengthen the spleen,,
行气降逆,Circulate and down- regulate qi,,顺气降逆
理气消痞,Regulate qi and resolve masses,Circulate qi and resolve nodules,行气消痞；行气散结；理气散结
理血法,Methods to regulate blood,,
活血化瘀,Circulate blood and transform stasis,Circulate blood and eliminate stasis; Circulate blood and dissipate stasis,活血祛瘀；活血散瘀；
化瘀清热,Transform stasis and clear heat,,
活血行滞,Circulate blood and resolve stagnation,Move blood and circulate qi,活血行气
活血消积,Circulate blood and resolve masses,,活血消癥
祛瘀生新,Eliminate stasis and regenerate blood,,化瘀生新
活血养血,Circulate and nourish blood,Harmonize and nourish blood; Resolve stasis and nourish blood,和血养血；祛瘀养血
祛瘀通络,Transform stasis and unblock collaterals,,化瘀通络；行瘀通络
化瘀利水,Transform stasis and drain water retention,,
化瘀消肿,Transform stasis and resolve swelling,Dissipate stasis and eliminate swelling; Break stasis and resolve swelling,祛瘀消肿；散瘀消肿；破瘀消肿
活血舒筋,Circulate blood and relax tendons,,祛瘀舒筋
活血祛风,Circulate blood and eliminate wind,,活血搜风
活血止痛,Circulate blood and alleviate pain,"Circulate blood, unblock meridians and alleviate pain",活血通络止痛
化瘀止血,Transform stasis and stop bleeding,,祛瘀止血
通络下乳,Unblock meridians and increase lactation,,
和络,Harmonize meridians,Unblock meridians,通络；活络
通经止痒,Unblock meridians and relieve itch,,
活血调经,Circulate blood and regulate menstruation,Harmonize blood and regulate menstruation,和血调经
和血安胎,Harmonize blood and quiet fetus,,
祛瘀下胎,Transform stasis and induce labour,,化瘀下胎；化瘀催产；祛瘀催产
化瘀通脑,Transform stasis and unblock brain collaterals.,,
化瘀宣肺,Transform stasis and disperse the lung,,
化瘀宽胸,Transform stasis and soothe the chest,,
化瘀宽心,Transform blood stasis and soothe the heart,,
化瘀和胃,Transform stasis and harmonize the stomach,,
化瘀养胃,Transform stasis and nourish the stomach,,
化瘀疏肝,Transform stasis and soothe the liver,,
化瘀养肝,Transform stasis and nourish the liver,,
化瘀理脾,Transform stasis and regulate the spleen,,
祛🗎法,Dampness-eliminating methods,,
辟秽化浊,Repel filth and transform turbidity,Transform turbidity with aroma,芳香化浊；辟秽泄浊；芳香泄浊
利🗎化浊,Drain dampness and transform turbidity,,祛🗎化浊
宣散🗎邪,Disperse dampness,,宣散🗎浊
行气化🗎,Circulate qi and transform dampnes,Regulate qi and transform dampness,理气化🗎
化🗎和营,Transform dampness and harmonize the Ying nutrients,Dry dampness and harmonize the Ying nutrients,燥🗎和营
化🗎和中,Transform dampness and harmonize the middle jiao,Transform dampness and awaken the spleen; Transform dampness and strengthen the spleen,化🗎醒脾；化🗎健脾；化🗎运脾
健脾化🗎,Strengthen the spleen and transform dampness,Supplement the spleen and resolve dampness,扶脾化🗎；扶脾祛🗎；健脾祛🗎
淡渗分利,Induce urination and drain dampness,,淡渗祛🗎
宽中利🗎,Soothe the middle jiao and drain dampness,,宽中化🗎
清心利🗎,Clear heart fire and drain dampness,Clear the heart and induce urination,清心利水
清胆利🗎,Clear gallbladder heat and drain dampness,,
燥🗎行气,Dry dampness and circulate qi,Dry dampness and unblock stagnation,燥🗎行滞
燥🗎和胃,Dry dampness and harmonize the stomach,Dry dampness and harmonize the middle jiao,燥🗎和中
祛风燥🗎,Remove wind and dry dampness,Remove wind and transform dampness,疏风燥🗎；疏风化🗎；祛风化🗎
散寒除🗎,Dissipate cold and eliminate dampness,Dissipate cold and dry dampness,散寒祛🗎；散寒燥🗎；
清热祛🗎,Clear heat and eliminate dampness,,清热除🗎
清利三焦,Clear heat and transform dampness in three jiao,Clear heat and transform; dampness in triple energizer,清化三焦；清化三焦🗎热；清理三焦🗎热
清热燥🗎解毒,"Clear heat, dry dampness and remove toxins",,泄热燥🗎解毒；泄热化🗎解毒；清热化🗎解毒
利水消肿,Induce urination and resolve oedema,,
除🗎通络,Remove dampness and unblock collaterals,,化🗎通络
润燥法,Moistening methods,,
轻宣润燥,Moisten by mild dispersing,Disperse qi and moisten external dryness,轻宣外燥
清热润燥,Clear heat and moisten dryness,,
清肺润燥,Clear lung heat and moisten dryness,Clear dryness and moisten the lung,清燥润肺
滋阴润燥,Nourish yin and moisten dryness,,养阴润燥
养血润燥,Nourish blood and moisten dryness,Tonify blood and moisten dryness,补血润燥
润燥止渴,Moisten dryness and alleviate thirst,,
润燥止咳,Moisten dryness and stop coughing,Moisten the lung and relieve cough,润肺止咳
润燥解毒,Moisten dryness and remove toxins,,
增液通便,Increase fluids and promote bowel movements,Increase water to float the boat,增水行舟
补益法,Reinforcing methods,,
补气,Tonify qi,Supplement qi; Supplement anti- pathogenic qi,益气；扶正益气；扶正补气
补益心气,Tonify heart qi,Reinforce heart qi,补心益气
补益肺气,Tonify lung qi,Reinforce lung qi,补肺益气
补益中气,Tonify qi of the spleen and stomach,Reinforce the spleen and tonify the stomach,补脾健胃；补中益气
补益肝气,Tonify liver qi,Reinforce liver qi,补肝益气
补益肾气,Tonify kidney qi,Reinforce kidney qi,补肾益气
补益心肺,Tonify the heart and lung,Reinforce the heart and benefit the lung,补心益肺
补脾益肺,Tonify the spleen and benefit the lung,Cultivate the earth to generate metal,培土生金
补益脾肾,Tonify the spleen and kidney,Reinforce the spleen and benefit the kidney,补脾益肾
补气固脱,Tonify qi to prevent collapse,Supplement qi to prevent collapse,益气固脱
补血,Tonify blood,,
补血养心,Tonify blood and nourish the heart,,
补血养肝,Tonify blood and nourish the liver,,
补血固脱,Tonify blood and prevent collapse,,
滋阴,Nourish yin,Nourish and supplement yin fluids,滋补阴液
滋补心阴,Nourish and supplement heart yin,Nourish heart yin,滋养心阴
滋补肺阴,Nourish and supplement lung yin,Nourish lung yin,滋养肺阴
滋阴益胃,Nourish yin and benefit the stomach,Nourish yin and harmonize the stomach; Benefit the stomach and generate fluids,养阴益胃；养阴和胃；滋阴和 胃；益胃生津
滋补脾阴,Nourish and supplement spleen yin,Nourish spleen yin,滋养脾阴
滋补肝阴,Nourish and supplement liver yin,Nourish liver yin,滋养肝阴
滋补肾阴,Nourish and supplement kidney yin,Nourish kidney yin,滋养肾阴
滋补心肺,Nourish and supplement the heart and lung,Nourish the heart and lung,滋养心肺
滋阴清热,Nourish yin and clear heat,,养阴清热
补阳益气,Tonify yang and supplement qi,Warm yang and supplement qi,温阳益气
补阳,Tonify yang,Strengthen yang; Warm yang,壮阳；温阳
温补心阳,Warm and tonify heart yang,,
温补肺阳,Warm and tonify lung yang,,
温补脾阳,Warm and tonify spleen yang,Warm spleen yang,温运脾阳
温补胃阳,Warm and tonify stomach yang,Warm yang and benefit the stomach,温阳益胃
温补肝阳,Warm and tonify liver yang,,
温补肾阳,Warm and tonify kidney yang,Warm and tonify kidney qi; Warm the kidney and strengthen yang,温补肾气；温肾壮阳
温补心肺,Warm and tonify the heart and lung,,
温阳行气,Warm yang and circulate qi,Warm yang and regulate qi,温阳理气
补益气血,Tonify qi and blood,Tonify qi and nourish blood,补气养血
滋阴补阳,Nourish yin and tonify yang,Nourish yin and warm yang,滋阴温阳
益气滋阴,Supplement qi and nourish yin,Nourish yin and supplement qi; Tonify essence and benefit marrow; Tonify the kidney and benefit marrow,益气养阴；滋阴益气；补精益 髓；补肾益髓
补益精髓,Tonify essence and marrow,,
补益心肾,Tonify the heart and kidney,,
滋阴补血,Nourish yin and tonify blood,,
生气于精,Tonify essence to generate qi,,
益气固脱,Supplement qi and prevent collapse,,
温里法,Warming interior methods,,
回阳,Resuscitate yang,Resuscitate yang for emergency,回阳急救
温阳散寒,Warm yang and dissipate cold,Warm the interior and dissipate cold,温里散寒
温经散寒,Warm meridians and dissipate cold,,温经祛寒
散寒止痛,Dissipate cold and alleviate pain,,
祛暑法,Clearing summer heat methods,,
祛暑清热,Eliminate summer heat,,涤暑清热
祛暑解表,Eliminate summer heat and release the exterior,Release the exterior and clear summer heat,解表清暑
清暑解毒,Clear summer heat and remove toxins,,
祛暑利🗎,Clear summer heat and drain dampness,,清暑利🗎；清暑化🗎；祛暑化🗎
清暑益气,Clear summer heat and supplement qi,,
清心涤暑,Clear heart fire and remove summer heat,,
清暑宣肺,Clear summer heat and disperse the lung,,
治风法,Removing wind methods,,
疏散风邪,Dispel external wind,,疏散外风
平肝熄风,Soothe the liver and extinguish wind,Calm the liver and stop wind,镇肝熄风
平肝潜阳,Soothe the liver and submerge yang,,
熄风解痉,Stop wind and relieve convulsions,,熄风定痉；镇痉熄风
祛痰法,Resolving phlegm methods,,
宣肺化痰,Disperse the lung and transform phlegm,Transform phlegm and disperse the lung,宣肺祛痰；豁痰宣肺
燥🗎化痰,Dry dampness and transform phlegm,Eliminate dampness and transform phlegm; Transform phlegm and eliminate dampness; Transform phlegm and dry dampness,祛🗎化痰；化痰除🗎；豁痰燥🗎
清热化痰,Clear heat and transform phlegm,,清热祛痰；清化热痰
润燥化痰,Moisten dryness and transform phlegm,Moisten the lung and transform phlegm; Moisten and transform dry phlegm,润肺化痰；润化燥痰
温化寒痰,Warm and transform cold phlegm,Warm yang and transform phlegm,温阳化痰
祛风化痰,Remove wind and transform phlegm,,治风化痰
理气化痰,Regulate qi and transform phlegm,Circulate qi and transform phlegm,行气化痰；行气祛痰；理气祛痰
散寒化饮,Dissipate cold and transform fluid retention,,
泻肺逐饮,Drain the lung and expel water retention,,
温阳化饮,Warm yang and transform water retention,Warm and transform cold fluid retention; Warm and transform phlegm fluid retention,温化寒饮；温化痰饮
化痰消食,Transform phlegm and promote digestion,,
祛痰化瘀,Eliminate phlegm and transform stasis,,
化痰散结,Transform phlegm and dissipate nodules,Transform phlegm and break nodules; Transform phlegm and soften hardness,化痰破结；涤痰破结；涤痰散 结；祛痰软坚；豁痰软坚
化痰消瘿,Transform phlegm and resolve goitre,,化痰消瘤
祛痰宣痹,Eliminate phlegm and unblock bi-impediment,,
清热祛痰化瘀,"Clear heat, eliminate phlegm and transform stasis",,
祛痰杀虫,Eliminate phlegm and kill parasites,,
祛痰理气解毒,"Eliminate phlegm, regulate qi and remove toxins",,
开窍法,Orifice-opening methods,,
开窍通闭,Open the orifices and unblock impediments,,通窍开闭
清热开窍,Clear heat and open the orifices,,泄热开窍
宁心开窍,Calm the heart and open the orifices,Calm the mind and open the orifices,宁神开窍
芳香开窍,Open the orifices with aroma,Repel foulness and open the orifices,芳香通窍；辟秽开窍；辟秽通窍
散寒开窍,Dissipate cold and open the orifices,Open the orifices with pungent warm,散寒通窍；散寒通闭；散寒开 闭；辛温开窍；辛温通窍
利🗎开窍,Drain dampness and open the orifices,,利🗎通窍；化🗎开窍；化🗎通窍
化痰开窍,Transform phlegm and open the orifices,,祛痰开窍；涤痰开窍；豁痰开窍
祛痰化🗎开窍,"Eliminate phlegm, transform dampness and open the orifices",,
搜风祛痰开窍,"Remove wind, eliminate phlegm and open the orifices",,
祛热开窍,Eliminate heat and open the orifices,,
消石开闭,Resolve stones and circulate qi,Dissolve stones and open blockages,
解毒开闭,Remove toxins and circulate qi,,
解毒开肺,Remove toxins and disperse the lung,,
驱虫法,Repelling parasites methods,,
驱蛔杀虫,Repel roundworms and kill parasites,,
健脾驱虫,Strengthen the spleen and repel parasitic worms,Fortify the spleen and repel parasitic worms,补脾驱虫
杀虫消疳,Kill parasitic worms and alleviate malnutrition,,杀虫消积
祛风杀虫,Eliminate wind and kill parasitic worms,,
杀虫宁神,Kill parasitic worms and calm the mind,,
安神法,Mind-calming methods,,
重镇安神,Calm the mind with heavy medicinal minerals,,潜镇安神
安神定志,Calm and settle the mind,Calm the mind and alleviate palpitations,安神定悸；宁心定志；宁心定悸
养心安神,Nourish the heart and calm the mind,Reinforce the heart and calm the mind,补心安神
养血安神,Nourish blood and calm the mind,,
益肾宁神,Benefit the kidney and calm the mind,,
益气安神,Supplement qi and calm the mind,,益气定神
滋阴安神,Nourish yin and calm the mind,,养阴安神
和中安神,Harmonize the middle jiao and calm the mind,Harmonize the stomach and calm the mind,和胃安神
解毒安神,Remove toxins and calm the mind,,
解郁安神,Relieve stagnation and calm the mind,,
安神止痒,Calm the mind and relieve itch,,
镇惊安神,Tranquillize and calm the mind,,镇心安神
消导法,Digestion-promoting methods,,
消食导滞,Promote digestion and eliminate stagnation,,消食化滞
清热导滞,Clear heat and eliminate stagnation,,泄热导滞
消痞化积,Resolve stagnation and transform indigestion,,
软坚散结,Soften hardness and dissipate masses,,软坚消结；软坚消瘿；软坚消 癥；软坚消肿
消石导滞,Resolve stones and promote bowel movements,,
固涩法,Securing and astringent methods,,
固表止汗,Secure the exterior and stop sweating,Astringe sweating and secure the exterior,固表敛汗；敛汗固表
敛肺止咳,Astringe the lung and relieve cough,,
敛肺平喘,Astringe the lung and alleviate panting/ tachypnoea,,
涩肠止泻,Astringe the intestine and stop diarrhoea,Secure the intestine and stop diarrhoea,固肠止泻
涩精止遗,Astringe essence and stop seminal emissions,,
固经止血,Secure menses and stop bleeding,,
固摄止血,Secure blood and stop bleeding,,摄血止血
固冲止带,Secure the Chong meridian and stop leucorrhoea,Secure the kidney and stop leucorrhoea,固肾止带；固涩止带
固肾安胎,Reinforce the kidney and secure the fetus,,
止血安胎,Stop bleeding and secure the fetus,,
固涩敛乳,Tonify qi and astringe the breast milk,,固涩摄乳；补气敛乳；固涩摄 乳；补气摄乳
固摄敛泪,Tonify qi and astringe tears,,收敛止泪
固脬止遗,Secure the bladder and stop enuresis,Tonify qi and secure the bladder,固脬止尿；固脬止淋；补气固脬
补气固摄,Tonify qi and facilitate its securing function,,益气固摄
固护阴液,Secure and astringe yin fluids,Astringe yin and prevent collapse,敛阴固脱
温阳固脱,Warm yang and prevent qi exhaustion,,温涩固脱
升提固涩,Lift and secure qi,,升清固涩
补肾固涩,Tonify the kidney to facilitate its astringent function,,固摄下元
治痈疡法,Sore-/ulcer-resolving methods,,
解毒散痈,Remove toxins and resolve sores/ulcers,,
解毒消肿,Remove toxins and resolve swelling,Remove toxins and resolve masses,化毒消肿；化毒散结；解毒散结
清热排脓,Clear heat and drain the pus,,
祛腐生肌,Eliminate dead tissues and regenerate new tissues,,去腐生肌
消痈散疖,Resolve abscesses and dissipate boils,,
燥🗎敛疮,Dry dampness and astringe wound,,
清解余毒,Clear and remove residual toxins,Clear hidden toxins,清透伏邪
敛疮止痛,Astringe sores/ulcers and stop pain,,
以毒攻毒,Remove toxins with toxins,Fight poison with poison,
提脓拔毒,Draw out pus and toxin,,
提脓祛腐,Draw pus and eliminate putridity,,
治五官法,"Methods for eyes and ear, nose and throat problems",,
明目,Brighten the eyes,,
通耳,Unblock the ears,Benefit the ears,利耳
通鼻,Unblock the nose,,
利咽,Clear the throat,,
开音,Restore the voice,,
固齿,Secure the teeth,,
其他治法,Other treatment methods,,
壮水制阳,Nourish yin fluids to submerge yang,,滋阴抑阳
益火消阴,Warm yang to dissipate yin cold,,壮阳消阴
引火归原,Guide fire to its origin,Guide dragon to the sea,导龙入海
和营生新,"Harmonize the Ying nutrients and
regenerate new tissues",,
宣通三焦,Disperse and unblock the three jiao,Disperse and unblock triple energizer,
交通心肾,Coordinate the heart and kidney,,
清利头目,Clear the head and eyes,,
滑利窍道,Lubricate the orifices,,
宽胸利膈,Open the chest and sooth the diaphragm,,
续筋接骨,Repair broken sinews and bones,,
强筋壮骨,Strengthen the sinews and bones,,
散结,Disperse nodules/ masses,Soften hardness,软坚
佐金平木,Reinforce metal and inhibit wood,,
益火生土,Supplement fire to cultivate earth,,
金水相生,Mutual generation between metal and water,,
培土制水,Cultivate earth to restrain water,,
泻南补北,Reduce the south to reinforce the north,,
中药类,The categories of Chinese medicines,,
中药,Chinese medicines,Chinese herbal medicines,
中药学,Theory and practice of Chinese medicines,,
本草,Materia medica,,
草药,Folk medicines,,
中药材,Raw Chinese medicines,,
道地药材,Geo-authentic materia medica,,
饮片,Decoction-ready medicines,,
配方颗粒,Medicinal granules,,
炮制,Processing of medicines,,
修治,Medicinal processing,,修制
纯净处理,Cleaning,,
粉碎处理,Crushing,,
切制处理,Cutting,,
水制,Water processing,,
润,Moistening,,闷；伏
水飞,Water-grinding,,
漂,Flushing,,
火制,Fire processing,,
炒,Stir-frying,,
清炒,Plain stir-frying,,
辅料,Adjuvants,,
炙,Stir-fry with liquid adjuvants,,
煅,Calcine,,
煨,Roast,,
水火共制,Processing with both water and fire,,
煮,Boiling,,
蒸,Steaming,,
燀,Blanching,,
淬,Quenching,,
中药变质,Spoilage of Chinese medicines,,
中药不良反应,Adverse reactions to Chinese medicines,,
药物偏性,Medicinal peculiarity,,
中药性能,Properties of Chinese medicines,,
中药性状,Characteristics of Chinese medicines,,
四气五味,Four qi and and five flavours,,
四气,Four qi,,四性
温热药,Warm/heat-property medicines,,
寒凉药,Cold/cool-property medicines,,
平性药,Neutral-property medicines,,
辛味,Pungent flavour,,
苦味,Bitter flavour,,
甘味,Sweet flavour,,
酸味,Sour flavour,,
涩味,Astringent flavour,,
咸味,Salty flavour,,
淡味,Bland flavour,,
辛甘化阳,Pungent and sweet transform into yang,,
酸甘化阴,Sour and sweet transform into yin,,
辛开苦降,Pungent opening and bitter descending,,
升降浮沉,"Ascending, descending, floating and sinking",,
升浮药,Ascending and floating medicines,,
沉降药,Sinking and descending medicines,,
归经,Meridian affinity,Channel affinity,
引经报使,Meridian-guiding property,,
引经药,Meridian guide,Channel guide,
配伍,Compatibility,Combination,
七情和合,Seven compatibility methods,,
单行,Single medicine,,
相须,Mutual reinforcement,,
相使,Mutual assistance,,
相畏,Mutual restraint,,
相杀,Mutual suppression,,
相恶,Mutual aversion,,
相反,Mutual opposition,Mutual incompatibility,
配伍禁忌,Contraindicated combination,,
十八反,Eighteen incompatibilities,,
十九畏,Nineteen incompatibilities,,
证候用药禁忌,Medicine contraindications,,病证用药禁忌
妊娠用药禁忌,Contraindicated medicines during pregnancy,,
服药食忌,Dietary contraindication during medication,,
汤液,Decoction,,
煎药法,Decoction method,,
煎药火候,Heat control in decoction,,
文火,Mild fire,Slow fire,慢火；微火
武火,Strong fire,"Intense fire, quick fire",急火；紧火
先煎,Decoct first,,
另煎,Decoct separately,,另炖
冲服,Dissolve in water,,
泡服,Taken after being infused in hot water,,焗服
煎汤代水,Use decoction as water,Use decoction instead of water,
解表药,Exterior-releasing medicines,,
辛温解表药,Pungent warm exterior- releasing medicines,Wind-cold dissipating medicines,发散风寒药
辛凉解表药,Pungent cool exterior- releasing medicines,Wind-heat dissipating medicines,发散风热药
清热药,Interior heat-clearing medicines,,
清热泻火药,Heat-clearing and fire- draining medicines,,
清热燥🗎药,Heat-clearing and dampness-drying medicines,,
清热凉血药,Heat-clearing and blood-cooling medicines,,
清热解毒药,Heat-clearing and toxin- removing medicines,,
清虚热药,Deficiency heat-clearing medicines,,
泻下药,Purgative medicines,,
攻下药,Draining purgative medicines,Attacking purgative medicines,
润下药,Moistening purgative medicines,,
峻下逐水药,Drastic water-expelling medicines,,
祛风🗎药,Wind-eliminating and dampness-resolving medicines,,
化🗎药,Dampness-transforming medicines,,芳香化🗎药
利水渗🗎药,Urination-promoting and dampness-draining medicines,,
温里药,Interior-warming medicines,,祛寒药
理气药,Qi-regulating medicines,,
消食药,Digestion-promoting medicines,,
驱虫药,Parasite-expelling medicines,,
止血药,Haemostatic medicines,,
凉血止血药,Blood–cooling haemostatic medicines,,
化瘀止血药,Blood-circulating haemostatic medicines,Stasis- transforming haemostatic medicines,活血止血药
收敛止血药,Astringent haemostatic medicines,,
温经止血药,Meridian-warming haemostatic medicines,,
活血祛瘀药,Blood-circulating and blood stasis-resolving medicines,,
化痰药,Phlegm-transforming medicines,,
温化寒痰药,Cold-removing and phlegm-transforming medicines,Medicines that warm and transform cold phlegm,
清化热痰药,Heat-clearing and phlegm-transforming medicines,Medicines that clear heat and transform heaty phlegm,
止咳平喘药,Cough-stopping and panting-alleviating medicines,,
安神药,Tranquillizing medicines,Mind-calming medicines,
重镇安神药,Heavy mind- tranquillizing medicines,,
养心安神药,Heart-nourishing and mind-calming medicines,,
平肝息风药,Liver-soothing and wind-extinguishing medicines,,
平降肝阳药,Liver yang-submerging medicines,,
息风止痉药,Wind-extinguishing and convulsion-resolving medicines,,
开窍药,Orifice-opening medicines,,
补虚药,Tonic medicines,,
补气药,Qi-tonifying medicines,,
补血药,Blood-tonifying medicines,,
补阳药,Yang-tonifying medicines,,
补阴药,Yin-nourishing medicines,,
收涩药,Astringing medicines,,固涩药
固表止汗药,Exterior-securing and sweat-stopping medicines,,
敛肺涩肠药,Lung and intestine- astringing medicines,,
固精缩尿止带药,"Semen-securing, urine-astringing and leucorrhoea-stopping medicines",,
涌吐药,Emetic medicines,,催吐法
外用药,Externally used medicines,,
方剂类,Formulas of Chinese Medicine,,
时方,Non-classical formulas,,
经方,Classical formulas,,
验方,Empirical formulas,,
古方,Ancient formulas,,
秘方,Secret formulas,,
汤头,Decoction formulas/ mnemonics,Decoction formulas/ mnemonics,汤方；汤头歌诀
七方,Seven formula types,,
大方,Major formulas,,
小方,Minor formulas,,
缓方,Slow-acting formulas,Demulcent formulas,缓剂
急方,Fast-acting formulas,,
奇方,Odd-numbered formulas,,
偶方,Even-numbered formulas,,
复方,Compound formulas,,重方
方剂学,Chinese medicinal formulas,Chinese herbal formulas,
八法,Eight methods,,
汗法,Sweating method,,
吐法,Vomiting method,,
下法,Draining downward method,,
和法,Harmonizing method,,
温法,Warming method,,
消法,Reducing method,,
清法,Clearing method,,
补法,Tonifying method,,
十剂,Ten formula types,,
宣剂,Dispersing formula,,
通剂,Unclogging/unblocking formula,,
补剂,Tonifying formula,,
泄剂,Purging formula,,泻剂
轻剂,Light formula,,
重剂,Heavy formula,,
涩剂,Astringent formula,,固涩剂
滑剂,Lubricative formula,,
燥剂,Drying formula,,
🗎剂,Moistening formula,,
君药,Monarch medicines,Principal medicines,主药
臣药,Minister medicines,,辅药
佐药,Assistant medicines,,
佐助药,Facilitating assistant medicines,,
佐制药,Counterbalancing assistant medicines,,
反佐药,Counteracting assistant medicines,,
使药,Guide medicines,,
调和药,Coordinating medicines,,
剂型,Dosage form,,
汤剂,Decoction,,煎剂；汤液
丸剂,Pill,,
蜜丸,Honeyed pill,,
水丸,Water pill,,
糊丸,Paste pill,,
浓缩丸,Condensed pill,,
蜡丸,Waxed pill,,
微丸,Mini pill,,
散剂,Powder,,
膏剂,Medicated paste,,
