WGM2#,English term,Chinese term,Pinyin term,Synonyms,English definition/description,Chinese synonyms
197,The small intestine governs receiving and holding,小肠主受盛,xiǎo cháng zhǔ shòu shèng,null,The small intestine receives and holds the decomposed water and food.,null
198,The small intestine governs transforming,小肠主化物,xiǎo cháng zhǔ huà wù,null,"The small intestine further digests the water and food, absorbs nutrients and passes the waste down to the large intestine.",null
199,The small intestine governs thick body fluids,小肠主液,xiǎo cháng zhǔ yè,null,The small intestine further absorbs the nutrients while separating the clear from the turbid.,null
200,The small intestine separates the clear from the turbid,小肠泌别清浊,xiǎo cháng mì bié qīng zhuó,null,The small intestine absorbs nutrients and body fluids and passes the food residue and water down to the large intestine.,null
201,The conveyance organ,传导之官,chuán dǎo zhī guān,The office of conveyance,"Refers to the large intestine, since it eliminates the waste out of the body.",null
202,The large intestine governs conveyance,大肠主传导,dà cháng zhǔ chuán dǎo,null,The large intestine conducts wastes and discharges faeces.,null
203,The large intestine governs the thin body fluids,大肠主津,dà cháng zhǔ jīn,null,"The large intestine absorbs the thin, clear fluids while eliminating waste.",null
204,The reservoir organ,州都之官,zhōu dū zhī guān,The office of reservoir,Refers to the urinary bladder – the organ in charge of the water in the three jiao.,null
205,Qi transformation of the urinary bladder,膀胱气化,páng guāng qì huà,null,The bladder relies on kidney qi transformation to store and excrete urine.,null
206,The dredging and draining organ,决渎之官,jué dú zhī guān,The office of dredging and draining,Refers to sanjiao – the water passage within the human body. Its function is compared to someone who is responsible for dredging a ditch.,null
207,Sanjiao,三焦,sān jiāo,The three jiao; triple energizer,"A fu organ. A collective term for upper jiao, middle jiao and lower jiao. It serves as a pathway for qi and water circulation and dominates qi transformation.",null
208,Upper jiao,上焦,shàng jiāo,null,The upper jiao is located above the diaphragm and includes the heart and lung.,null
209,Middle jiao,中焦,zhōng jiāo,null,"The middle jiao is located between the diaphragm and navel and includes the spleen, stomach, liver and gallbladder.",null
210,Lower jiao,下焦,xià jiāo,null,"The lower jiao is located below the navel and includes the kidney, urinary bladder, large intestine, and small intestine.",null
211,Upper jiao resembles mist,上焦如雾,shàng jiāo rú wù,null,The heart and lung distribute qi and blood. Their function is compared with the permeation of mist and dew.,null
212,Middle jiao resembles foam,中焦如沤,zhōng jiāo rú òu,null,The spleen and stomach decompose water and food. Their function is compared to fermentation.,null
213,Lower jiao resembles a sluice,下焦如渎,xià jiāo rú dú,null,The kidney and urinary bladder regulate water discharge. Their function is compared to an unobstructed ditch.,null
214,The house of the original spirit,元神之府,yuán shén zhī fǔ,The house of original Shen,Refers to the brain – the source of mental activities.,null
215,The house of bright essence,精明之府,jīng míng zhī fǔ,null,"Refers to the head – a place where the spirit, qi, essence and marrow converge.",null
216,Marrow,髓,suǐ,null,"An extraordinary organ. A collective term for brain marrow, spinal cord and bone marrow. Marrow is transformed from kidney essence.",null
217,Bone,骨,gǔ,null,"An extraordinary organ that stores bone marrow, supports the body, protects the internal organs, and helps with body movements.",null
218,Vessel,脉,mài,null,"An extraordinary organ, referring to the pathway for qi and blood circulation.",null
219,Hair is the extension of blood,发为血之余,fà wéi xuè zhī yú,null,The growth of hair depends on the nourishment of blood.,null
220,Uterus,女子胞,nǚ zǐ bāo,null,An extraordinary organ. A collective term for female internal genital organs.,null
221,The servant and messenger organ,臣使之官,chén shǐ zhī guān,The office of the servant and messenger,It refers to the pericardium that acts to protect the heart against exogenous pathogenic factors.,null
222,"1.4 Essence, qi, blood and body fluids",1.4 精气血津液类,null,null,null,null
223,Essence,精,jīng,null,All tangible nutrients of the human body. It can also specifically refer to the kidney essence.,null
224,Qi,气,qì,null,"The intangible, high-mobility nutritive substance that maintains vital activities.",null
225,Blood,血,xuè,null,The red liquid that circulates within the blood vessels to moisten and nourish the body. It is an essential substance to maintain life activities.,null
226,Body fluids,津液,jīn yè,null,A collective term for thinner part of fluids ( jin) and thicker part of liquid (ye). Body fluids are essential to maintain life activities.,null
227,Innate essence,先天之精,xiān tiān zhī jīng,Pre-heaven essence; prenatal essence; congenital essence,The original substance of life inherited from one’s parents and contributed to the generation of offspring.,null
228,Acquired essence,后天之精,hòu tiān zhī jīng,Post-heaven essence; post-natal essence,The nutritive substances obtained through qi transformation of the zang–fu organs after birth.,null
229,Essence qi,精气,jīng qì,null,A collective term for essence and qi. It serves as the fundamental substance of the human body and maintains vital activities.,null
230,Qi transformation,气化,qì huà,null,A general term referring to various changes generated by qi movement. All things in the universe are transformed by qi.,null
231,Qi movement,气机,qì jī,null,"Qi movement can be classified into four basic forms, namely ascending, descending, exiting and entering.",null
232,Genuine qi,真气,zhēn qì,True qi/Essential qi,"A collective term for qi of the entire body, including innate qi and acquired qi.",null
233,Innate qi,先天之气,xiān tiān zhī qì,Pre-heaven qi; prenatal qi; congenital qi,The qi inherited from one’s parents and stored in the kidney.,null
234,Acquired qi,后天之气,hòu tiān zhī qì,Post-heaven qi; post-natal qi,The qi transformed from the essential qi of water and food as well as the clean qi (fresh air inhaled in the lung) of the nature.,null
235,Yuan-primordial qi,元气,yuán qì,Yuan-original qi; Yuan-source qi,"Rooted in the kidney, Yuan-primordial qi consists of innate essence qi and Ying-nutrients qi transformed from water and food. It includes primordial yin qi and primordial yang qi.",null
236,Zong-pectoral qi,宗气,zōng qì,Ancestral qi/ gathering qi,The qi that accumulates in the chest. It consists of clean qi (fresh air inhaled in the lung) in the nature and qi transformed from water and food.,null
237,Ying-nutrient qi,营气,yíng qì,null,Opposite to Wei-defensive qi. Ying-nutrients qi is transformed from water and food and travels within the blood vessels.,null
238,Ying-nutrient blood,营血,yíng xuè,null,"The qi within blood and yin within qi. When used in combination with blood, it often represents yin blood. Alternatively, it generally refers to blood.",null
239,Ying-nutrient circulates within the vessels,营行脉中,yíng xíng mài zhōng,null,Ying-nutrient is yin and flexible in nature and travels within the vessels.,null
240,Wei-defensive qi,卫气,wèi qì,null,Opposite to the Ying-nutrient qi. It travels outside the vessels and is transformed from the nutrients of water and food.,null
241,Wei-defence circulates outside the vessels,卫行脉外,wèi xíng mài wài,null,Wei-defence is yang and resolute in nature. It travels outside the vessels.,null
242,Qi of the zang–fu organs,脏腑之气,zàng fǔ zhī qì,null,The qi stored in the zang–fu organs and maintains normal physiological functions of the zang–fu organs.,null
243,Qi of the middle jiao,中气,zhōng qì,Central qi,It is also known as qi of the spleen and stomach.,null
244,Qi of meridians,经气,jīng qì,null,The qi circulates within the meridians and falls under the category of healthy qi.,经络之气
245,"Ascending, descending, entering and exiting",升降出入,shēng jiàng chū rù,null,The basic forms of qi movement.,null
246,Qi governs warming,气主煦之,qì zhǔ xù zhī,null,Qi has the function of warming the body.,null
247,Blood governs nourishing and moistening,血主濡之,xuè zhǔ rú zhī,null,Blood has the function of nourishing and moistening the body.,null
248,Thin fluids,津,jīn,Jin; thin body fluids,"The thin, clear and high-mobility body fluids that distribute over the skin, muscles or orifices and permeates into blood vessels. This part of fluids moistens the body.",null
249,Thick fluids,液,yè,Ye; thick body fluids,"The thick, low-mobility body fluids that perfuse into the bones, joints, zang–fu organs, brain and marrows. This part of fluids nourishes the body and lubricates the bones/joints.",null
